category,dig&135,dig&180,dig&225,dig&270,135&180,180&225,225&270
comedy,2.271,2.405,2.682,2.839,0.155,0.286,0.211
entertainment,2.848,3.171,3.693,3.941,0.380,0.528,0.312
film,2.089,2.373,2.647,2.843,0.292,0.283,0.215
gaming,3.029,3.198,3.468,3.693,0.200,0.309,0.285
news,2.748,3.060,3.273,3.392,0.356,0.256,0.125
